Variant_category	pval_bin	Proportion	Type
no_variant	1e-05~1e-04	0.134969325153374	eOutliers - Under
other_noncoding	1e-05~1e-04	0.128834355828221	eOutliers - Under
splice_acceptor_variant	1e-05~1e-04	0.0429447852760736	eOutliers - Under
splice_donor_variant	1e-05~1e-04	0.0552147239263804	eOutliers - Under
splice_region_variant	1e-05~1e-04	0.0858895705521472	eOutliers - Under
stop	1e-05~1e-04	0.141104294478528	eOutliers - Under
TSS	1e-05~1e-04	0.0613496932515337	eOutliers - Under
BND	1e-07~1e-05	0.0253164556962025	eOutliers - Under
CNV	1e-07~1e-05	0.113924050632911	eOutliers - Under
conserved_noncoding	1e-07~1e-05	0.0443037974683544	eOutliers - Under
DEL	1e-07~1e-05	0.0569620253164557	eOutliers - Under
DUP	1e-07~1e-05	0.0189873417721519	eOutliers - Under
frameshift	1e-07~1e-05	0.183544303797468	eOutliers - Under
no_variant	1e-07~1e-05	0.0822784810126582	eOutliers - Under
other_noncoding	1e-07~1e-05	0.10126582278481	eOutliers - Under
splice_acceptor_variant	1e-07~1e-05	0.0253164556962025	eOutliers - Under
splice_donor_variant	1e-07~1e-05	0.0379746835443038	eOutliers - Under
splice_region_variant	1e-07~1e-05	0.0949367088607595	eOutliers - Under
stop	1e-07~1e-05	0.158227848101266	eOutliers - Under
TSS	1e-07~1e-05	0.0569620253164557	eOutliers - Under
BND	nonOutlier	0.00175491501855435	eOutliers - Under
CNV	nonOutlier	0.00401033682641001	eOutliers - Under
coding	nonOutlier	0.0142623493244205	eOutliers - Under
conserved_noncoding	nonOutlier	0.0271551110329287	eOutliers - Under
DEL	nonOutlier	0.00649925866358405	eOutliers - Under
DUP	nonOutlier	0.00127325576525185	eOutliers - Under
frameshift	nonOutlier	0.000436634583972055	eOutliers - Under
INV	nonOutlier	7.95784853282403e-05	eOutliers - Under
no_variant	nonOutlier	0.409821869843105	eOutliers - Under
other_noncoding	nonOutlier	0.499736134496017	eOutliers - Under
splice_acceptor_variant	nonOutlier	0.000205228725320199	eOutliers - Under
splice_donor_variant	nonOutlier	0.000215699578652862	eOutliers - Under
splice_region_variant	nonOutlier	0.00368574037309745	eOutliers - Under
stop	nonOutlier	0.00048375342396904	eOutliers - Under
TE	nonOutlier	0.00808559294348252	eOutliers - Under
TSS	nonOutlier	0.0222945409159065	eOutliers - Under
